number,name,name_full,personal_name,suffix,suffix_L,name_L,canonization,birth,DMY_birth,birth_place,start,DMY_start,end,DMY_end,age_start,age_end,tenure,notes,wiki
1,Peter,Peter,NA,1,Primus,PETRVS,Saint,0001-06-30T00:00:00Z,30/06/1,"Bethsaida, Judaea, Roman Empire",0030-01-01T00:00:00Z,01/01/30,0064-12-31T00:00:00Z,31/12/64,28,63,34.99726775956280,"Born as Shimon, son of Yonah, a Jew from Judaea. A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Apostle of Jesus. According to Catholic tradition, he received the keys of the Kingdom of Heaven (Matthew 16:18–19). Feast day (Feast of Saints Peter and Paul) 29 June. The Catholic Church recognizes him as the first Bishop of Rome appointed by Christ, and therefore the first pope. Also revered as saint in Eastern Christianity, with a feast day of 29 June. St. Peter's Basilica in Vatican City is named after him.",https://en.m.wikipedia.org/wiki/Saint_Peter
2,Linus,Linus,NA,1,Primus,LINVS,Saint,0010-06-30T00:00:00Z,30/06/10,"Volterrae, Italia, Roman Empire",0064-01-01T00:00:00Z,01/01/64,0076-12-31T00:00:00Z,31/12/76,53,66,12.997267759562800,"First Roman pope, being a Roman citizen born in Italia, the homeland of the ancient Romans. Feast day 23 September. Also revered as a saint in Eastern Christianity, with a feast day of 7 June. Possibly mentioned in the New Testament (Second Epistle to Timothy 4:21).",https://en.wikipedia.org/wiki/Pope_Linus
3,Anacletus,Anacletus,NA,1,Primus,ANACLETVS,Saint,0025-06-30T00:00:00Z,30/06/25,"Athenae, Achaea, Roman Empire",0076-01-01T00:00:00Z,01/01/76,0088-12-31T00:00:00Z,31/12/88,50,63,12.997267759562800,"First Greek pope.  A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Feast day 26 April. Once erroneously split into Cletus and Anacletus.",https://en.wikipedia.org/wiki/Pope_Anacletus
4,Clement,Clement I,NA,1,Primus,CLEMENS,Saint,0035-06-30T00:00:00Z,30/06/35,"Roma, Italia, Roman Empire",0088-04-26T00:00:00Z,26/04/88,0099-11-23T00:00:00Z,23/11/99,52,64,11.578082191780800,"Roman citizen, born in the capital of the Roman Empire. Feast day 23 November. The earliest Apostolic Father, issued 1 Clement which is said to be the basis of apostolic authority for the clergy. Also revered as a saint in Eastern Christianity, with a feast day of 25 November. Possibly mentioned in the New Testament (Epistle to the Philippians 4:3). He was martyred by being tied to an anchor and being thrown in the sea.",https://en.wikipedia.org/wiki/Pope_Clement_I
5,Evaristus,Evaristus,NA,1,Primus,EVARISTVS,Saint,0030-06-30T00:00:00Z,30/06/30,"Bethlehem, Iudaea, Roman Empire",0099-11-23T00:00:00Z,23/11/99,0105-10-27T00:00:00Z,27/10/105,69,75,5.926027397260270,"Hellenized Jew. A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Said to have divided Rome into parishes, assigning a priest to each. Feast day of 26 October.",https://en.wikipedia.org/wiki/Pope_Evaristus
6,Alexander,Alexander I,NA,1,Primus,ALEXANDER,Saint,0075-06-30T00:00:00Z,30/06/75,"Roma, Italia, Roman Empire",0105-10-27T00:00:00Z,27/10/105,0115-05-03T00:00:00Z,03/05/115,30,39,9.515068493150680,"Roman citizen, born in the capital of the Roman Empire. Inaugurated the custom of blessing houses with holy water. Also revered as a saint in Eastern Christianity, with a feast day of 18 March.",https://en.wikipedia.org/wiki/Pope_Alexander_I
7,Sixtus,Sixtus I,NA,1,Primus,SYXTVS,Saint,0042-06-30T00:00:00Z,30/06/42,"Roma, Italia, Roman Empire",0115-05-03T00:00:00Z,03/05/115,0125-04-03T00:00:00Z,03/04/125,72,82,9.917808219178080,"A Roman of Greek descent, born in Italia, the homeland of the ancient Romans. Uncertain if he was a peregrinus (a free subject of the Roman Empire) or a Roman citizen. Feast day of 6 April. Also revered as a saint in Eastern Christianity, with a feast day of 10 August.",https://en.wikipedia.org/wiki/Pope_Sixtus_I
8,Telesphorus,Telesphorus,NA,1,Primus,TELESPHORVS,Saint,0067-06-30T00:00:00Z,30/06/67,"Terra Nova, Italia, Roman Empire",0125-04-03T00:00:00Z,03/04/125,0136-01-05T00:00:00Z,05/01/136,57,68,10.756830601092900,"A Roman of Greek descent, born in Italia, the homeland of the ancient Romans. Uncertain if he was a peregrinus (a free subject of the Roman Empire) or a Roman citizen. Feast day of 5 January. Also revered as a saint in Eastern Christianity, with a feast day of 22 February. Church Father St. Irenaeus called him a great martyr; the earliest attested martyrdom of pope after St. Peter.",https://en.wikipedia.org/wiki/Pope_Telesphorus
9,Hyginus,Hyginus,NA,1,Primus,HYGINVS,Saint,0074-06-30T00:00:00Z,30/06/74,"Athens, Achaea, Roman Empire",0136-01-05T00:00:00Z,05/01/136,0140-01-11T00:00:00Z,11/01/140,61,65,4.016393442622950,"Greek. A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Tradition holds he was martyred; feast day 11 January.",https://en.wikipedia.org/wiki/Pope_Hyginus
10,Pius,Pius I,NA,1,Primus,PIVS,Saint,0081-06-30T00:00:00Z,30/06/81,"Aquileia, Italia, Roman Empire",0140-01-11T00:00:00Z,11/01/140,0155-07-11T00:00:00Z,11/07/155,58,74,15.495890410958900,"Roman citizen, born in Italia, the homeland of the ancient Romans. Was brother of Hermas. Martyred by sword; feast day 11 July. Decreed that Easter should only be celebrated on a Sunday.",https://en.wikipedia.org/wiki/Pope_Pius_I
11,Anicetus,Anicetus,NA,1,Primus,ANICETVS,Saint,0092-06-30T00:00:00Z,30/06/92,"Emesa, Syria, Roman Empire",0155-07-11T00:00:00Z,11/07/155,0166-04-20T00:00:00Z,20/04/166,63,73,10.775342465753400,"Hellenized Syrian; first Syrian pope. A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Tradition holds he was martyred; feast day 17 April. Decreed that priests are not allowed to have long hair.",https://en.wikipedia.org/wiki/Pope_Anicetus
12,Soter,Soter,NA,1,Primus,SOTERIVS,Saint,0119-06-30T00:00:00Z,30/06/119,"Fundi, Italia, Roman Empire",0166-04-20T00:00:00Z,20/04/166,0174-04-22T00:00:00Z,22/04/174,46,54,8.005479452054800,"Roman citizen, born in Italia, the homeland of the ancient Romans. Tradition holds he was martyred; feast day 22 April. Declared that marriage was valid as a sacrament blessed by a priest; formally inaugurated Easter as an annual festival in Rome.",https://en.wikipedia.org/wiki/Pope_Soter
13,Eleutherius,Eleutherius,NA,1,Primus,ELEVTHERIVS,Saint,0130-06-30T00:00:00Z,30/06/130,"Nicopolis, Epirus, Roman Empire",0174-04-22T00:00:00Z,22/04/174,0189-05-26T00:00:00Z,26/05/189,43,58,15.093150684931500,"Greek. A peregrinus, free provincial subject of the Roman Empire who was not a Roman citizen. Tradition holds he was martyred; feast day 6 May.",https://en.wikipedia.org/wiki/Pope_Eleutherius
14,Victor,Victor I,NA,1,Primus,VICTOR,Saint,0155-06-30T00:00:00Z,30/06/155,"Africa, Roman Empire",0189-05-26T00:00:00Z,26/05/189,0199-07-28T00:00:00Z,28/07/199,33,44,10.172602739726000,Roman Berber; first pope to have been born on the continent of Africa. Uncertain if it was a peregrinus (a free subject of the Roman Empire) or a Roman citizen. Known for excommunicating Theodotus of Byzantium. Quartodecimanism controversy.,https://en.wikipedia.org/wiki/Pope_Victor_I
15,Zephyrinus,Zephyrinus,NA,1,Primus,ZEPHYRINVS,Saint,0160-06-30T00:00:00Z,30/06/160,"Rome, Italia, Roman Empire",0199-07-28T00:00:00Z,28/07/199,0217-12-20T00:00:00Z,20/12/217,39,57,18.397260273972600,"Roman citizen, born in the capital of the Roman Empire. Combated against the adoptionist heresies of the followers of Theodotus of Byzantium who were ruled by Theodotus and Asclepiodotus. Although not physically martyred (murdered), he is called a martyr for the suffering he endured.",https://en.wikipedia.org/wiki/Pope_Zephyrinus
16,Callixtus,Callixtus I,NA,1,Primus,CALLIXTVS,Saint,0155-06-30T00:00:00Z,30/06/155,"Rome, Italia, Roman Empire",0217-12-20T00:00:00Z,20/12/217,0222-10-14T00:00:00Z,14/10/222,62,67,4.816438356164380,Roman citizen of Greek descent (Constitutio Antoniniana). Martyred; feast day 14 October.,https://en.wikipedia.org/wiki/Pope_Callixtus_I
17,Urban,Urban I,NA,1,Primus,VRBANVS,Saint,0175-06-30T00:00:00Z,30/06/175,"Rome, Italia, Roman Empire",0222-10-14T00:00:00Z,14/10/222,0230-05-23T00:00:00Z,23/05/230,47,54,7.605479452054790,"Roman citizen. Also revered as a saint in Eastern Christianity, with a feast day of 25 May.",https://en.wikipedia.org/wiki/Pope_Urban_I
